SMILES: C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C, logP: 5.0, SAScore: 8.0, MolWeight: 9.0
SMILES: CC(C)=CCC=C(C)C, logP: 3.0, SAScore: 6.0, MolWeight: 2.0
SMILES: OB(O)O, logP: -1.0, SAScore: 8.0, MolWeight: 7.0
SMILES: C[S+]([O-])CCCCN=C=[Se], logP: 0.0, SAScore: 8.0, MolWeight: 2.0
SMILES: CC=O, logP: 0.0, SAScore: 1.0, MolWeight: 4.0
SMILES: CCC(C)SSC(C)CC, logP: 6.0, SAScore: 5.0, MolWeight: 9.0
SMILES: CC#N, logP: 1.0, SAScore: 3.0, MolWeight: 8.0
SMILES: CCC(C)C, logP: 3.0, SAScore: 2.0, MolWeight: 7.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 8.0
SMILES: C=CC(=C)C, logP: 4.0, SAScore: 5.0, MolWeight: 7.0
SMILES: O=O, logP: -1.0, SAScore: 6.0, MolWeight: 8.0
SMILES: C[As](C)(=O)O, logP: -1.0, SAScore: 6.0, MolWeight: 4.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 6.0, MolWeight: 8.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 8.0, MolWeight: 2.0
SMILES: C=CCN1C(=O)/C(=C/c2ccccn2)NC1=[Se], logP: 0.0, SAScore: 5.0, MolWeight: 1.0
SMILES: NC=O, logP: -1.0, SAScore: 4.0, MolWeight: 4.0
SMILES: ClC=CCl, logP: 3.0, SAScore: 4.0, MolWeight: 9.0
SMILES: C=CC(=C)Cl, logP: 3.0, SAScore: 3.0, MolWeight: 6.0
SMILES: CN=C=O, logP: 0.0, SAScore: 5.0, MolWeight: 3.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 2.0
SMILES: C=CC#N, logP: 1.0, SAScore: 5.0, MolWeight: 9.0
SMILES: C=CC(C)=CCCC=CC, logP: 6.0, SAScore: 5.0, MolWeight: 4.0
SMILES: CCCCCCCCCCCC, logP: 6.0, SAScore: 1.0, MolWeight: 4.0
SMILES: O=C/C=C1/C=C(C(=O)O)N[C@H](C(=O)O)C1, logP: -1.0, SAScore: 6.0, MolWeight: 1.0
SMILES: C=CB(C)O, logP: 0.0, SAScore: 8.0, MolWeight: 8.0
SMILES: C=CC(C)=CC=CC(=C)C, logP: 5.0, SAScore: 5.0, MolWeight: 8.0
SMILES: C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C, logP: 5.0, SAScore: 8.0, MolWeight: 9.0
SMILES: C=CC=CC(=C)C, logP: 3.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 6.0, MolWeight: 4.0
SMILES: C=CC(C)=CC, logP: 6.0, SAScore: 5.0, MolWeight: 7.0
SMILES: C=CCCCCCC, logP: 5.0, SAScore: 2.0, MolWeight: 7.0
SMILES: C=CCCCCCC, logP: 5.0, SAScore: 2.0, MolWeight: 6.0
SMILES: CCCC(C)C, logP: 3.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=CC(=C)C, logP: 2.0, SAScore: 4.0, MolWeight: 9.0
SMILES: C=C(C)C=CC=C(C)C, logP: 4.0, SAScore: 4.0, MolWeight: 6.0
SMILES: CO, logP: 0.0, SAScore: 4.0, MolWeight: 5.0
SMILES: N#CCO, logP: -1.0, SAScore: 4.0, MolWeight: 5.0
SMILES: O=C(O)CO, logP: -2.0, SAScore: 2.0, MolWeight: 5.0
SMILES: C=O, logP: 0.0, SAScore: 4.0, MolWeight: 2.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 8.0, MolWeight: 7.0
SMILES: C=CC=CCC=CC, logP: 4.0, SAScore: 6.0, MolWeight: 8.0
SMILES: ClPCl, logP: 2.0, SAScore: 7.0, MolWeight: 8.0
SMILES: CCCCCCCCCCC, logP: 6.0, SAScore: 1.0, MolWeight: 5.0
SMILES: COP(C)(=O)OC, logP: -1.0, SAScore: 6.0, MolWeight: 4.0
SMILES: C=CCC(C)CC, logP: 4.0, SAScore: 3.0, MolWeight: 9.0
SMILES: Cl[Ga]Cl, logP: 1.0, SAScore: 9.0, MolWeight: 8.0
SMILES: CCC(C)SSC(C)CC, logP: 5.0, SAScore: 4.0, MolWeight: 2.0
SMILES: O=S1(=O)CCCO1, logP: -1.0, SAScore: 6.0, MolWeight: 6.0
SMILES: ClC=CCl, logP: 2.0, SAScore: 5.0, MolWeight: 2.0
SMILES: C=CCCCCCC, logP: 4.0, SAScore: 2.0, MolWeight: 6.0
SMILES: C=C(C)C=CC=C(C)C=CC=C(C)C=O, logP: 5.0, SAScore: 5.0, MolWeight: 6.0
SMILES: NCCO, logP: -2.0, SAScore: 4.0, MolWeight: 7.0
SMILES: C[S+]([O-])CCC(O)C(=O)NO, logP: -2.0, SAScore: 7.0, MolWeight: 6.0
SMILES: C=CC=CC=O, logP: 2.0, SAScore: 4.0, MolWeight: 2.0
SMILES: C=CC(=C)CC, logP: 4.0, SAScore: 4.0, MolWeight: 6.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 1.0, SAScore: 8.0, MolWeight: 5.0
SMILES: c1ccccc1, logP: 2.0, SAScore: 1.0, MolWeight: 8.0
SMILES: OCCO, logP: -1.0, SAScore: 3.0, MolWeight: 8.0
SMILES: CC=CCC=CC(C)C, logP: 5.0, SAScore: 6.0, MolWeight: 8.0
SMILES: C=CC(C)C=CC(C)C, logP: 5.0, SAScore: 6.0, MolWeight: 3.0
SMILES: C[S+]([O-])CCC(O)C(=O)NOS(=O)(=O)O, logP: -1.0, SAScore: 7.0, MolWeight: 4.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: -1.0, SAScore: 8.0, MolWeight: 1.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 7.0, MolWeight: 4.0
SMILES: C=CC(C)C, logP: 3.0, SAScore: 3.0, MolWeight: 5.0
SMILES: C[As](C)(=O)O, logP: -1.0, SAScore: 7.0, MolWeight: 1.0
SMILES: CC=C(C)C=CC=C(C)C, logP: 5.0, SAScore: 4.0, MolWeight: 7.0
SMILES: CCCCCCCC, logP: 4.0, SAScore: 1.0, MolWeight: 3.0
SMILES: C=CC(C)=CC, logP: 4.0, SAScore: 4.0, MolWeight: 6.0
SMILES: NC=O, logP: -1.0, SAScore: 1.0, MolWeight: 3.0
SMILES: O=COC1OCC(O)(CO)C(O)C1O, logP: -2.0, SAScore: 5.0, MolWeight: 7.0
SMILES: CCCCCC, logP: 3.0, SAScore: 1.0, MolWeight: 8.0
SMILES: C#CC, logP: 2.0, SAScore: 6.0, MolWeight: 1.0
SMILES: C#CCO, logP: 0.0, SAScore: 5.0, MolWeight: 7.0
SMILES: NC=O, logP: 0.0, SAScore: 1.0, MolWeight: 8.0
SMILES: C=CCCCCCC, logP: 4.0, SAScore: 2.0, MolWeight: 1.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 9.0, MolWeight: 5.0
SMILES: Cc1ccccc1, logP: 2.0, SAScore: 1.0, MolWeight: 2.0
SMILES: CCCCCCCCS, logP: 6.0, SAScore: 4.0, MolWeight: 1.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 7.0
SMILES: Cc1ccccc1, logP: 2.0, SAScore: 1.0, MolWeight: 3.0
SMILES: C=CCCCCCCCC, logP: 6.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCCCC, logP: 3.0, SAScore: 1.0, MolWeight: 1.0
SMILES: NNC(N)=O, logP: -2.0, SAScore: 3.0, MolWeight: 2.0
SMILES: CCCCCCCCCCCC, logP: 6.0, SAScore: 1.0, MolWeight: 2.0
SMILES: C[S+]([O-])CCCCN=C=[Se], logP: 0.0, SAScore: 7.0, MolWeight: 6.0
SMILES: C=CC(=C)C, logP: 5.0, SAScore: 4.0, MolWeight: 8.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 7.0, MolWeight: 1.0
SMILES: CC=CCCCC=CC(=O)OC1CC2CCC1(C)C2(C)C, logP: 6.0, SAScore: 9.0, MolWeight: 3.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 8.0, MolWeight: 1.0
SMILES: CC(C)N[Si]O, logP: 0.0, SAScore: 9.0, MolWeight: 7.0
SMILES: C1=CC=[Si]C=C1, logP: 1.0, SAScore: 9.0, MolWeight: 9.0
SMILES: CCCCCCCCCC, logP: 5.0, SAScore: 1.0, MolWeight: 1.0
SMILES: C=CC=CC=CCCCCC, logP: 6.0, SAScore: 4.0, MolWeight: 2.0
SMILES: NC=O, logP: -1.0, SAScore: 2.0, MolWeight: 7.0
SMILES: CO[P+](=O)OC=O, logP: -2.0, SAScore: 7.0, MolWeight: 1.0
SMILES: OCCO, logP: -2.0, SAScore: 2.0, MolWeight: 7.0
SMILES: C=CC(C)=CC=CC(C)=CC, logP: 4.0, SAScore: 6.0, MolWeight: 8.0
SMILES: C=CCCCCCC, logP: 5.0, SAScore: 2.0, MolWeight: 6.0
SMILES: CCCCCCCC, logP: 4.0, SAScore: 1.0, MolWeight: 4.0
SMILES: C=CCCCCCCCC, logP: 6.0, SAScore: 2.0, MolWeight: 8.0
SMILES: C=C(C)C=CC=C(C)C, logP: 4.0, SAScore: 4.0, MolWeight: 7.0
SMILES: C=CCCC(S)CCCC, logP: 5.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCCl, logP: 2.0, SAScore: 2.0, MolWeight: 6.0
SMILES: C=C[Si](C)(C)O[Si](C)(C)C=C, logP: 5.0, SAScore: 7.0, MolWeight: 6.0
SMILES: CC(C)=CC=CC(C)C=CC(C)C, logP: 6.0, SAScore: 5.0, MolWeight: 2.0
SMILES: CCCC, logP: 2.0, SAScore: 1.0, MolWeight: 3.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 7.0
SMILES: O=CO, logP: 0.0, SAScore: 1.0, MolWeight: 8.0
SMILES: C=CC=CC, logP: 2.0, SAScore: 3.0, MolWeight: 5.0
SMILES: CCCCCCCCCCCC, logP: 6.0, SAScore: 1.0, MolWeight: 8.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 7.0, MolWeight: 6.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 9.0, MolWeight: 9.0
SMILES: C#CC#N, logP: 1.0, SAScore: 5.0, MolWeight: 3.0
SMILES: Cc1ccccc1, logP: 2.0, SAScore: 1.0, MolWeight: 6.0
SMILES: CC=CC#N, logP: 2.0, SAScore: 5.0, MolWeight: 3.0
SMILES: C#CC, logP: 2.0, SAScore: 6.0, MolWeight: 7.0
SMILES: C#N, logP: 0.0, SAScore: 3.0, MolWeight: 8.0
SMILES: C=CC(C)(O)C=CCC=CC, logP: 4.0, SAScore: 5.0, MolWeight: 2.0
SMILES: C=C[Si](C)(C)Cl, logP: 3.0, SAScore: 8.0, MolWeight: 6.0
SMILES: c1ccccc1, logP: 2.0, SAScore: 1.0, MolWeight: 1.0
SMILES: C=CC#N, logP: 1.0, SAScore: 5.0, MolWeight: 7.0
SMILES: C[As](C)(=O)O, logP: -2.0, SAScore: 8.0, MolWeight: 3.0
SMILES: CC=CCCCCCCCCC(=O)O, logP: 5.0, SAScore: 8.0, MolWeight: 2.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 6.0, MolWeight: 7.0
SMILES: CCC(C)SSC(C)CC, logP: 5.0, SAScore: 4.0, MolWeight: 2.0
SMILES: C[As](C)(=O)O, logP: 0.0, SAScore: 7.0, MolWeight: 8.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=CCCC=CC, logP: 4.0, SAScore: 7.0, MolWeight: 7.0
SMILES: C[C@H](O)[C@H]1OC(O)=C(O[C@@H]2OC(CO)[C@@H](O)C(O)[C@@H]2O)C1=O, logP: -2.0, SAScore: 6.0, MolWeight: 6.0
SMILES: C=CCCCC=CC, logP: 4.0, SAScore: 7.0, MolWeight: 5.0
SMILES: CC=CC1CO1, logP: 2.0, SAScore: 7.0, MolWeight: 7.0
SMILES: C=C[Si](C)(C)O, logP: 2.0, SAScore: 7.0, MolWeight: 4.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 7.0, MolWeight: 7.0
SMILES: C=O, logP: 0.0, SAScore: 3.0, MolWeight: 7.0
SMILES: C=CCCCCCCCC, logP: 6.0, SAScore: 2.0, MolWeight: 7.0
SMILES: CO[Al]=O, logP: 1.0, SAScore: 8.0, MolWeight: 8.0
SMILES: OCCO, logP: -1.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CC(CC)CCCC, logP: 5.0, SAScore: 3.0, MolWeight: 1.0
SMILES: C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C, logP: 6.0, SAScore: 7.0, MolWeight: 9.0
SMILES: c1ccccc1, logP: 1.0, SAScore: 1.0, MolWeight: 3.0
SMILES: C=CCCCCCCC, logP: 5.0, SAScore: 2.0, MolWeight: 5.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 6.0, MolWeight: 9.0
SMILES: NC(N)=O, logP: -1.0, SAScore: 1.0, MolWeight: 5.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 1.0, MolWeight: 3.0
SMILES: C=CC(C)(C)OC(=O)CC=C(C)C=CC=C(C)C=CC(=O)O, logP: 6.0, SAScore: 8.0, MolWeight: 2.0
SMILES: NC=O, logP: -1.0, SAScore: 2.0, MolWeight: 8.0
SMILES: ClC=CCl, logP: 3.0, SAScore: 4.0, MolWeight: 3.0
SMILES: C=C[Si](C)(C)O[Si](C)(C)C=C, logP: 3.0, SAScore: 7.0, MolWeight: 5.0
SMILES: Nc1ncn[nH]1, logP: -1.0, SAScore: 3.0, MolWeight: 7.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 9.0, MolWeight: 2.0
SMILES: C[As](C)(=O)O, logP: -2.0, SAScore: 9.0, MolWeight: 6.0
SMILES: C=C[C@H](C)CC[C@H](C)CCCC(C)C, logP: 6.0, SAScore: 7.0, MolWeight: 2.0
SMILES: C=C(C)C=CC=C(C)C, logP: 3.0, SAScore: 4.0, MolWeight: 1.0
SMILES: C=CCCCCC, logP: 5.0, SAScore: 4.0, MolWeight: 9.0
SMILES: CCCP(=O)(CCC)CCC, logP: 6.0, SAScore: 3.0, MolWeight: 6.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 9.0
SMILES: CCC(C)SSC(C)C, logP: 5.0, SAScore: 4.0, MolWeight: 1.0
SMILES: COB(OC)OC, logP: 1.0, SAScore: 8.0, MolWeight: 8.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 8.0, MolWeight: 4.0
SMILES: c1ccccc1, logP: 2.0, SAScore: 1.0, MolWeight: 2.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C#C[C@]12C=C(C#N)C(=O)C=C1[C@@]1(C)C=C(C#N)C(=O)C(C)(C)[C@@H]1CC2, logP: 4.0, SAScore: 8.0, MolWeight: 2.0
SMILES: C[S+]([O-])CCC(N)C(=O)O, logP: -1.0, SAScore: 6.0, MolWeight: 3.0
SMILES: CCCSP(=O)(CCC)OCC, logP: 5.0, SAScore: 3.0, MolWeight: 6.0
SMILES: C=C(C)C=CC=C(C)C=CC(=O)O, logP: 4.0, SAScore: 7.0, MolWeight: 2.0
SMILES: Cc1ccccc1, logP: 2.0, SAScore: 1.0, MolWeight: 4.0
SMILES: NC=O, logP: -1.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C[As](C)(=O)O, logP: -1.0, SAScore: 7.0, MolWeight: 5.0
SMILES: NNC=O, logP: -2.0, SAScore: 5.0, MolWeight: 4.0
SMILES: CC#N, logP: 1.0, SAScore: 3.0, MolWeight: 7.0
SMILES: C[Si](N[Si](C)(C)C)O[Si](C)(C)C, logP: 1.0, SAScore: 6.0, MolWeight: 8.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 7.0, MolWeight: 4.0
SMILES: C=Cc1ccccc1, logP: 4.0, SAScore: 6.0, MolWeight: 7.0
SMILES: CC#N, logP: 1.0, SAScore: 3.0, MolWeight: 7.0
SMILES: NC(N)=O, logP: -1.0, SAScore: 1.0, MolWeight: 3.0
SMILES: C=CC(O)CCCC=CC, logP: 4.0, SAScore: 6.0, MolWeight: 2.0
SMILES: C[As](=O)(O)O, logP: -2.0, SAScore: 8.0, MolWeight: 4.0
SMILES: C[As](C)(=O)O, logP: -1.0, SAScore: 9.0, MolWeight: 2.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 3.0, SAScore: 9.0, MolWeight: 1.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: NC=O, logP: -1.0, SAScore: 2.0, MolWeight: 2.0
SMILES: CCN, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=C[Si](C)(C)O[Si](C)(C)C=C, logP: 3.0, SAScore: 8.0, MolWeight: 1.0
SMILES: C#CC#N, logP: 1.0, SAScore: 4.0, MolWeight: 8.0
SMILES: NC=O, logP: -1.0, SAScore: 1.0, MolWeight: 5.0
SMILES: CCC(C)SSC(C)CC, logP: 6.0, SAScore: 4.0, MolWeight: 4.0
SMILES: CCCP(=O)(CCC)CCC, logP: 6.0, SAScore: 3.0, MolWeight: 8.0
SMILES: O=C1O[C@H]([C@@H](O)CO)C(O)=C1O, logP: -1.0, SAScore: 4.0, MolWeight: 1.0
SMILES: c1ccccc1, logP: 2.0, SAScore: 1.0, MolWeight: 5.0
SMILES: C=CC#N, logP: 1.0, SAScore: 6.0, MolWeight: 6.0
SMILES: CC=CCCC=CC(C)(O)C(O)CCC(O)C1CC[C@@H](O)C1, logP: 5.0, SAScore: 8.0, MolWeight: 4.0
SMILES: OCCO, logP: -1.0, SAScore: 2.0, MolWeight: 7.0
SMILES: CC=C(C)C=CC=C(C)C=CC=C(C)C=O, logP: 6.0, SAScore: 5.0, MolWeight: 8.0
SMILES: C=CCC#N, logP: 2.0, SAScore: 4.0, MolWeight: 8.0
SMILES: CC=C(C)C=CC=C(C)C=CC(=O)O, logP: 6.0, SAScore: 9.0, MolWeight: 6.0
SMILES: C[Si](C)(C)O[As](C)(C)=O, logP: 3.0, SAScore: 8.0, MolWeight: 5.0
SMILES: C=CB(C)O[Si](C)(C)C=C, logP: 2.0, SAScore: 9.0, MolWeight: 6.0
SMILES: c1ccccc1, logP: 1.0, SAScore: 1.0, MolWeight: 1.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 1.0, SAScore: 5.0, MolWeight: 6.0
SMILES: NC=O, logP: -2.0, SAScore: 6.0, MolWeight: 4.0
SMILES: CCC=CCC#N, logP: 4.0, SAScore: 3.0, MolWeight: 8.0
SMILES: C=CC#N, logP: 1.0, SAScore: 4.0, MolWeight: 6.0
SMILES: O=C1O[C@H]([C@@H](O)CO)C(O)=C1O, logP: -1.0, SAScore: 4.0, MolWeight: 3.0
SMILES: C[As](C)(=O)O, logP: -2.0, SAScore: 7.0, MolWeight: 4.0
SMILES: C=O, logP: 0.0, SAScore: 4.0, MolWeight: 5.0
SMILES: C[As](=O)O[Si](C)(C)C, logP: 2.0, SAScore: 8.0, MolWeight: 8.0
SMILES: CCCCCCCCCCCC, logP: 6.0, SAScore: 1.0, MolWeight: 3.0
SMILES: NC=O, logP: -1.0, SAScore: 1.0, MolWeight: 3.0
SMILES: OCCO, logP: -1.0, SAScore: 3.0, MolWeight: 6.0
SMILES: C=CC(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 8.0
SMILES: CCCCCCCS, logP: 6.0, SAScore: 4.0, MolWeight: 3.0
SMILES: C=CCCl, logP: 2.0, SAScore: 4.0, MolWeight: 9.0
SMILES: C#N, logP: 1.0, SAScore: 5.0, MolWeight: 6.0
SMILES: CCC(C)(C)S, logP: 4.0, SAScore: 3.0, MolWeight: 6.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=C[Si](C)(C)O[Si](C)(C)C=C, logP: 5.0, SAScore: 8.0, MolWeight: 4.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 1.0, SAScore: 6.0, MolWeight: 6.0
SMILES: CCCCCCCCCC, logP: 5.0, SAScore: 1.0, MolWeight: 3.0
SMILES: CC=O, logP: 0.0, SAScore: 1.0, MolWeight: 6.0
SMILES: C=CC1CC2C(=C)CCC12C, logP: 4.0, SAScore: 6.0, MolWeight: 9.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 6.0, MolWeight: 1.0
SMILES: C=CCCCCCCCC, logP: 6.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCC(CO)OBOC(C)C, logP: 0.0, SAScore: 7.0, MolWeight: 7.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 6.0, MolWeight: 1.0
SMILES: NC=O, logP: -1.0, SAScore: 2.0, MolWeight: 8.0
SMILES: C=CC(CC)CCCC, logP: 5.0, SAScore: 3.0, MolWeight: 2.0
SMILES: C=CCCCC, logP: 3.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 9.0, MolWeight: 2.0
SMILES: C=CCCCCCCCCC, logP: 5.0, SAScore: 2.0, MolWeight: 1.0
SMILES: NC=O, logP: -2.0, SAScore: 6.0, MolWeight: 3.0
SMILES: C=CCCC(C)CC=CC(C)=CC(C)C, logP: 6.0, SAScore: 3.0, MolWeight: 1.0
SMILES: C=CC1C2CC3CCC(C)(C3)C1C2, logP: 4.0, SAScore: 7.0, MolWeight: 2.0
SMILES: C=C1CC2C=CC(O)=C3C=C(O3)C1C2, logP: 3.0, SAScore: 7.0, MolWeight: 3.0
SMILES: C[Sn](=O)Cl, logP: 3.0, SAScore: 8.0, MolWeight: 3.0
SMILES: NC(N)=O, logP: -1.0, SAScore: 1.0, MolWeight: 6.0
SMILES: NC=O, logP: -2.0, SAScore: 5.0, MolWeight: 7.0
SMILES: C=C(C)[C@@H]1CC[C@]2(C)[C@H](CC=C3[C@@H]4C[C@](C)(C(=O)O)CC[C@]4(C)CC[C@]32C)[C@@]1(C)CC, logP: 6.0, SAScore: 5.0, MolWeight: 7.0
SMILES: CCCO, logP: 1.0, SAScore: 2.0, MolWeight: 9.0
SMILES: CCCCCCCCCCC, logP: 5.0, SAScore: 1.0, MolWeight: 9.0
SMILES: C[As](C)(=O)O, logP: -2.0, SAScore: 9.0, MolWeight: 9.0
SMILES: NC=O, logP: 0.0, SAScore: 4.0, MolWeight: 3.0
SMILES: NC=O, logP: -1.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C[As](=O)(O)O, logP: -2.0, SAScore: 8.0, MolWeight: 1.0
SMILES: CC(=O)OC1COC(OC=O)C(N)C1O, logP: -2.0, SAScore: 6.0, MolWeight: 2.0
SMILES: CSC(=O)CCC(=O)Nc1cc(C=CC(C)C)on1, logP: 4.0, SAScore: 9.0, MolWeight: 2.0
SMILES: C=CCCCC=CCC, logP: 6.0, SAScore: 3.0, MolWeight: 9.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 2.0, SAScore: 6.0, MolWeight: 4.0
SMILES: c1ccccc1, logP: 2.0, SAScore: 1.0, MolWeight: 4.0
SMILES: C[As](C)(=O)O, logP: -2.0, SAScore: 9.0, MolWeight: 2.0
SMILES: C=CC(C)=CC, logP: 6.0, SAScore: 6.0, MolWeight: 4.0
SMILES: NC=O, logP: -2.0, SAScore: 6.0, MolWeight: 2.0
SMILES: CC=CCl, logP: 3.0, SAScore: 5.0, MolWeight: 9.0
SMILES: c1ccccc1, logP: 2.0, SAScore: 1.0, MolWeight: 2.0
SMILES: CCCCCCCCCC, logP: 5.0, SAScore: 1.0, MolWeight: 5.0
SMILES: CC=C(Cl)CCl, logP: 3.0, SAScore: 5.0, MolWeight: 6.0
SMILES: C[S+]([O-])CCCCN=C=S, logP: 1.0, SAScore: 6.0, MolWeight: 8.0
SMILES: OCCO, logP: -1.0, SAScore: 3.0, MolWeight: 8.0
SMILES: NC(CC[S+][O-])C(=O)O, logP: 0.0, SAScore: 9.0, MolWeight: 1.0
SMILES: C=CC(C)=CC, logP: 5.0, SAScore: 5.0, MolWeight: 6.0
SMILES: CCCCCCCC, logP: 4.0, SAScore: 1.0, MolWeight: 3.0
SMILES: C=CC=O, logP: 1.0, SAScore: 4.0, MolWeight: 5.0
SMILES: O=C(O)C(=O)O, logP: -1.0, SAScore: 1.0, MolWeight: 1.0
SMILES: C=C[C@]1(C)CC[C@@H](C(=C)C)C[C@H]1C(=C)C, logP: 5.0, SAScore: 6.0, MolWeight: 5.0
SMILES: CC(C)=CC=CC(C)C, logP: 5.0, SAScore: 6.0, MolWeight: 5.0
SMILES: NC(N)=O, logP: -1.0, SAScore: 1.0, MolWeight: 6.0
SMILES: O=C1C2CC=CCC12, logP: 3.0, SAScore: 6.0, MolWeight: 4.0
SMILES: CCC(C)SSC(C)CC, logP: 5.0, SAScore: 4.0, MolWeight: 2.0
SMILES: CCCCCCCCCCCC, logP: 6.0, SAScore: 1.0, MolWeight: 6.0
SMILES: C=CC=CC=O, logP: 2.0, SAScore: 5.0, MolWeight: 9.0
SMILES: Cl[Si]Cl, logP: 2.0, SAScore: 8.0, MolWeight: 9.0
SMILES: C=C[Si](C)(C)O[Si](C)(C)C=C, logP: 3.0, SAScore: 9.0, MolWeight: 8.0
SMILES: CO[P@@](C)(=O)SC, logP: 3.0, SAScore: 9.0, MolWeight: 1.0
SMILES: CC(Cl)CC=CCl, logP: 5.0, SAScore: 9.0, MolWeight: 6.0
SMILES: CCN, logP: 0.0, SAScore: 2.0, MolWeight: 8.0
SMILES: C=CCC#N, logP: 2.0, SAScore: 4.0, MolWeight: 5.0
SMILES: C[As](C)(=O)O, logP: -2.0, SAScore: 8.0, MolWeight: 3.0
SMILES: CC(C)CC=O, logP: 2.0, SAScore: 3.0, MolWeight: 2.0
SMILES: C=CC=CC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC=C(C)C=C[C@H]1C[C@@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C, logP: 6.0, SAScore: 7.0, MolWeight: 1.0
SMILES: C#N, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C[As](C)(=O)O, logP: -2.0, SAScore: 7.0, MolWeight: 7.0
SMILES: CCCCCCCCCC, logP: 5.0, SAScore: 1.0, MolWeight: 8.0
SMILES: CC(N)=O, logP: -1.0, SAScore: 1.0, MolWeight: 7.0
SMILES: C[S+]([O-])CCCCN=C=O, logP: 0.0, SAScore: 6.0, MolWeight: 7.0
SMILES: CNCCN, logP: -1.0, SAScore: 3.0, MolWeight: 7.0
SMILES: C#CC1(C#C)C=CC=C1, logP: 1.0, SAScore: 5.0, MolWeight: 6.0
SMILES: C=CC=CC=CC=CC=C=O, logP: 4.0, SAScore: 6.0, MolWeight: 6.0
SMILES: OCCO, logP: -2.0, SAScore: 3.0, MolWeight: 8.0
SMILES: O=C1O[C@H]([C@@H](O)CO)C(O)=C1O, logP: -1.0, SAScore: 5.0, MolWeight: 6.0
SMILES: C=CC(C)=CC, logP: 3.0, SAScore: 5.0, MolWeight: 2.0
SMILES: OB(O)O, logP: -1.0, SAScore: 9.0, MolWeight: 9.0
