SMILES: C/C=C(\C)C(=O)O[C@@H]1C2=CC(OC)=C(OC)C(=O)C23COc2c4c(cc(c23)[C@@H](OC(=O)c2ccccc2)[C@H](C)[C@]1(C)O)OCO4, logP: 5.0, SAScore: 8.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C(=O)O)cc1O, logP: 1.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCOC(=O)C1=C(C)NC(=O)NC1c1cc(C)c(O)c(O)c1, logP: 1.0, SAScore: 3.0, MolWeight: N/A
SMILES: O=C(O[C@@H]1[C@@H](O)[C@H](Oc2cc(O)c(C(=O)CCc3ccccc3)c(O)c2)O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@@H]12)c1cc(O)c(O)c(O)c1, logP: 3.0, SAScore: 9.0, MolWeight: N/A
SMILES: CC(C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O, logP: 0.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@@H](N)CC(=O)NO)C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)NO, logP: -2.0, SAScore: 7.0, MolWeight: N/A
SMILES: CC[C@H](C)[C@]1(O)C[C@H](O)[C@@H]2C(=O)c3c(O)cc(O)cc3O[C@]2(C)[C@H]1O, logP: 2.0, SAScore: 6.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccccc2O)N1)C(=O)N[C@@H](CCCCN)C(=O)O, logP: -2.0, SAScore: 7.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C)c(O)c(C)c1C, logP: 3.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCC(C)CC(O)(CO)C(=O)O[C@@H]1CC[C@H](C)[C@@]2(C)C=C([C@H](C)CO)C(=O)C=C12, logP: 3.0, SAScore: 6.0, MolWeight: N/A
SMILES: C/C(=C\CC[C@]1(C)CCc2cc(O)cc(C)c2O1)C/C=C\C(C)C(=O)[C@H](O)CC(C)C, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1ccc(C(C)C)cc1, logP: 4.0, SAScore: 1.0, MolWeight: N/A
SMILES: CC[C@@H](C)[C@]12Oc3cc(C4=C(O)C(=O)C(c5ccc(O)cc5)=C(O)C4=O)ccc3O[N@+]1([O-])C(O)=C([C@@H](C)CC)N(O)C2=O, logP: 5.0, SAScore: 5.0, MolWeight: N/A
SMILES: CCC1(O)CCC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1, logP: 6.0, SAScore: 7.0, MolWeight: N/A
SMILES: COc1cc(C[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)Cc2ccc(O)c(OC)c2)ccc1O, logP: -1.0, SAScore: 6.0, MolWeight: N/A
SMILES: C/C(=C/C(=O)C/C(C)=C/CC/C(C)=C/C(O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CO, logP: 5.0, SAScore: 5.0, MolWeight: N/A
SMILES: CC1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1\CCOC1=O, logP: 1.0, SAScore: 7.0, MolWeight: N/A
SMILES: CCOC(=O)[C@@H]1CC(=O)c2sccc2[C@H]1c1cc(C)cc(OC)c1, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C)c(O)c(C)c1C, logP: 3.0, SAScore: 2.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccccc2O)N1)C(=O)N[C@@H](CCCCN)C(=O)O, logP: -2.0, SAScore: 7.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 5.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC(C)=CC[C@@H]1C[C@]2(C/C=C(\C)[C@@H](O)CC=C(C)C)C(=O)[C@@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C2O)C1(C)C, logP: 5.0, SAScore: 6.0, MolWeight: N/A
SMILES: CC(C)(C)NCC(O)COc1cccc2c1CCCC2, logP: -2.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCC1(C)CCC[C@]2(C)[C@@H]1C[C@H](O)[C@@]13C=C[C@@](CO)(C1)[C@H](O)C[C@@H]23, logP: 3.0, SAScore: 8.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 5.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1ccc(C(C)C)c(C)c1, logP: 5.0, SAScore: 1.0, MolWeight: N/A
SMILES: COC(=O)[C@]1(O)C[C@@H](O)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)/C=C/c2ccc(O)c(O)c2)C1, logP: 0.0, SAScore: 6.0, MolWeight: N/A
SMILES: CC[C@H](C)[C@H](NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)[C@@H](N)Cc1ccccc1)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CS)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CS)C(=O)O)[C@@H](C)O)[C@@H](C)CC, logP: -1.0, SAScore: 9.0, MolWeight: N/A
SMILES: CC=C1C(=O)O[C@@H]2/C=C(\C)[C@@H](O)C/C=C(\C)C[C@@H](OC(=O)/C(=C\C)CO)[C@@H]12, logP: 3.0, SAScore: 9.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccccc2O)N1)C(=O)N[C@@H](CCCCN)C(=O)O, logP: -1.0, SAScore: 6.0, MolWeight: N/A
SMILES: CC[C@H](C)[C@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)CNC(=O)CNC(=O)[C@@H](NC(=O)C1(C)CCc2c(C)c(O)c(C)c(C)c2O1)C(C)C)C(C)C)C(C)C)C(=O)N[C@@H](C)C(=O)O, logP: 2.0, SAScore: 5.0, MolWeight: N/A
SMILES: COc1ccc2c3c1O[C@H]1C[C@@H](OP(=O)(NCCN)Oc4ccc([N+](=O)[O-])cc4)C=C[C@@]31CCN(C)C2, logP: 4.0, SAScore: 8.0, MolWeight: N/A
SMILES: C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O[C@@H]2OC[C@H](O)[C@@H](O)[C@H]2O)[C@H](O)[C@H]1O, logP: 4.0, SAScore: 9.0, MolWeight: N/A
SMILES: C/C=C(\C)C(=O)O[C@@H]1C2=CC(OC)=C(OC)C(=O)C23COc2c4c(cc(c23)[C@@H](OC(=O)c2ccccc2)[C@H](C)[C@]1(C)O)OCO4, logP: 4.0, SAScore: 7.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccccc2O)N1)C(=O)N[C@@H](CCCCN)C(=O)O, logP: 0.0, SAScore: 7.0, MolWeight: N/A
SMILES: COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2, logP: 6.0, SAScore: 9.0, MolWeight: N/A
SMILES: C/C(=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CC/C=C(\C)Cc1cc(C)co1, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: C=C(C)[C@@H](C)C[C@]12C[C@H](CC=C(C)C)C(C)(C)[C@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C1O)C2=O, logP: 6.0, SAScore: 9.0, MolWeight: N/A
SMILES: CCOC(=O)[C@H](C)NC(=O)/C=C/c1cc(OC)c(O)c(C(C)=O)c1, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C)c(S(=O)(=O)N2CCC[C@@H]2C(=O)N2CCN(c3ccnc4cc(Cl)ccc34)CC2)c(C)c1, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCN1C[C@]2(C)CC[C@H](OC)[C@]34C1[C@@](C)([C@@H](OC)[C@H]23)[C@@]1(O)CC[C@H]2C[C@@H]4C1(O)C(=O)O2, logP: 2.0, SAScore: 9.0, MolWeight: N/A
SMILES: C/C=C(/C)C(=O)O[C@@H]1C2=CC(OC)=C(OC)C(=O)C23COc2c4c(cc(c23)[C@@H](OC(=O)c2ccccc2)[C@H](C)[C@]1(C)O)OCO4, logP: 5.0, SAScore: 7.0, MolWeight: N/A
SMILES: C[C@H]([O-])[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C(=O)O, logP: 0.0, SAScore: 1.0, MolWeight: N/A
SMILES: CC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H](C(=O)NCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)O)[C@@H](C)O, logP: -1.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCC1(O)CCC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1, logP: 5.0, SAScore: 8.0, MolWeight: N/A
SMILES: CCC1CC2C(=O)C(C1)C(c1cc(OC)c(OC)c(OC)c1)NC2c1cc(C)c(OC)c(OC)c1, logP: 5.0, SAScore: 7.0, MolWeight: N/A
SMILES: Cc1ccc(C(C)C)c(C)c1, logP: 5.0, SAScore: 1.0, MolWeight: N/A
SMILES: CCC1(CC)OC(=O)[C@]2(C[C@@H](O)[C@H](O)[C@H](OC(=O)/C=C/c3ccc(O)c(O)c3)C2)O1, logP: 4.0, SAScore: 5.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccccc2O)N1)C(=O)N[C@@H](CCCCN)C(=O)O, logP: 0.0, SAScore: 8.0, MolWeight: N/A
SMILES: COC(=O)CNC(=O)CCc1ccc(O)c(O)c1, logP: 0.0, SAScore: 2.0, MolWeight: N/A
SMILES: COc1cc([C@@H]2c3c(cc(OC)c(O)c3OC)C[C@H](CO)[C@H]2CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O, logP: 0.0, SAScore: 8.0, MolWeight: N/A
SMILES: COc1cc([C@H]2N[C@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N3CCC[C@H]3C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)O)Cc3c2[nH]c2ccccc32)ccc1O, logP: 0.0, SAScore: 5.0, MolWeight: N/A
SMILES: CCOC(=O)C(CS)NC(=O)C1CCCCC1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(O)cc(O)c1C, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC[C@@]12C=C(C(=O)OCCO)n3c4c(c5ccccc53)CCN(CCC1)[C@H]42, logP: 2.0, SAScore: 6.0, MolWeight: N/A
SMILES: CC(=O)c1ccc(NC(=O)C2CC(O)CN2S(=O)(=O)c2ccc(C)cc2)cc1, logP: 1.0, SAScore: 3.0, MolWeight: N/A
SMILES: C/C=C(\C)C(=O)O[C@H]1c2cc3c(c(OC)c2-c2c(cc(OC)c(OC)c2O)[C@H](OC(=O)/C(C)=C/C)[C@@]2(CO2)[C@H]1C)OCO3, logP: 4.0, SAScore: 6.0, MolWeight: N/A
SMILES: CC1=CC(=O)C2(O1)C(c1cc3oc(=O)c4cc(O)c(O)cc4c3c(=O)o1)=Cc1cc(O)c(O)cc12, logP: 3.0, SAScore: 6.0, MolWeight: N/A
SMILES: Cc1ccc(C(C)C)cc1, logP: 4.0, SAScore: 1.0, MolWeight: N/A
SMILES: C=C[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)OC=C(C(=O)[O-])[C@H]1/C=C/c1cc(C(=O)[O-])c[n+](CCCC(=O)O)c1, logP: -2.0, SAScore: 7.0, MolWeight: N/A
SMILES: C/C=C(/C)C(=O)O[C@H]1c2cc(OC)c(OC)c(O)c2-c2c(cc3c(c2OC)OCO3)[C@H](OC(=O)/C(C)=C/C)[C@H](C)[C@]12CO2, logP: 6.0, SAScore: 7.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCCCNCc1c(O)c(CC=C(C)C)c(O)c2c(=O)c3c(CC=C(C)C)c(OC)c(O)c(CN(C)C)c3oc12, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1ccc(S(=O)(=O)NC(=O)C2(C)CCc3c(C)c(O)c(C)c(C)c3O2)cc1, logP: 3.0, SAScore: 4.0, MolWeight: N/A
SMILES: C[C@@H](O[Si](C)(C)C(C)(C)C)[C@H]1C(=O)N2/C(=N/Cc3ccccc3)[Se]/C(=C/I)C[C@H]12, logP: 5.0, SAScore: 9.0, MolWeight: N/A
SMILES: COc1cc(O)c2c(c1)O[C@]1(C)[C@@H](O)[C@@H](C)C[C@H](O)[C@@H]1C2=O, logP: 1.0, SAScore: 6.0, MolWeight: N/A
SMILES: C[C@@H](O[Si](C)(C)C(C)(C)C)[C@H]1C(=O)N2/C(=N/Cc3ccccc3)[Se]/C(=C/I)C[C@H]12, logP: 4.0, SAScore: 7.0, MolWeight: N/A
SMILES: O=C(O[C@@H]1[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]2[C@@H]2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]21)c1cc(O)c(O)c(O)c1, logP: 4.0, SAScore: 9.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccccc2O)N1)C(=O)N[C@@H](CCCCN)C(=O)O, logP: -2.0, SAScore: 8.0, MolWeight: N/A
SMILES: CCCCCCCCCCCCCc1ccccc1, logP: 6.0, SAScore: 1.0, MolWeight: N/A
SMILES: O=C(O[C@@H]1[C@@H](O)[C@H](Oc2c(O)cc3oc4cc(O)c(O)cc4c(=O)c3c2O)O[C@H](CO)[C@H]1O)c1cc(O)c(O)c(O)c1, logP: 2.0, SAScore: 7.0, MolWeight: N/A
SMILES: CC[C@H](C)[C@]1(C)O[C@H](C=C(C)C)[C@@]2(C)CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)C[C@@H]21, logP: 4.0, SAScore: 7.0, MolWeight: N/A
SMILES: C=C(C)[C@@H](CC=C(C)C)C[C@@]12C[C@@H](CC=C(C)C)C(C)(C)[C@@](CC=C(C)C)(C(=O)C(C(=O)c3ccc(O)c(O)c3)=C1O)C2=O, logP: 6.0, SAScore: 6.0, MolWeight: N/A
SMILES: Cc1cc(O)cc2oc(=O)ccc12, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1ccc(N(C)S(=O)(=O)c2c(C)cc(C)cc2C)c(C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: C/C=C(\C)C(=O)O[C@@H]1c2cc3c(c4c2C2(CO4)C(=O)C(OC)=C(OC)C=C2[C@@H](OC(=O)c2ccccc2)[C@@](C)(O)[C@H]1C)OCO3, logP: 4.0, SAScore: 7.0, MolWeight: N/A
SMILES: COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)[C@H]5O[C@H]5C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2, logP: 6.0, SAScore: 7.0, MolWeight: N/A
SMILES: C/C=C(\C)C(=O)O[C@@H]1C2=CC(OC)=C(OC)C(=O)C23COc2c4c(cc(c23)[C@@H](OC(=O)c2ccccc2)[C@H](C)[C@]1(C)O)OCO4, logP: 4.0, SAScore: 9.0, MolWeight: N/A
SMILES: C=CC(=C)CC[C@H]1[C@]2(C)CCC[C@](C)(CO)[C@H]2[C@H](O)C[C@]1(C)O, logP: 4.0, SAScore: 8.0, MolWeight: N/A
SMILES: COC(=O)C(C)c1cc(C)c(O)cc1O, logP: -1.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC(=O)CCc1ccc(O)cc1, logP: 2.0, SAScore: 1.0, MolWeight: N/A
SMILES: O=C(O[C@@H]1[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]2[C@@H]2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]21)c1cc(O)c(O)c(O)c1, logP: 2.0, SAScore: 9.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccccc2O)N1)C(=O)N[C@@H](CCCCN)C(=O)O, logP: -2.0, SAScore: 9.0, MolWeight: N/A
SMILES: C/C=C(/C)C(=O)Oc1c(C(C)=O)c(O)c(OC)c2c1[C@@H](C)[C@@H](O)C=C2, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC[C@@H](C)[C@]12Oc3cc(C4=C(O)C(=O)C(c5ccc(O)cc5)=C(O)C4=O)ccc3O[N@+]1([O-])C(O)=C([C@@H](C)CC)N(O)C2=O, logP: 4.0, SAScore: 7.0, MolWeight: N/A
SMILES: COc1c(O)cc([C@H]2Oc3c(CCC(C)=O)cc(O)c(OC)c3C(=O)[C@@H]2O[C@@H]2O[C@H](C)[C@@H](O)[C@H](O)[C@@H]2O)cc1O, logP: -1.0, SAScore: 7.0, MolWeight: N/A
SMILES: CC[C@H](C)C(=O)c1c(O)c(C)c2oc3c(C)c(O)c(C(=O)C(C)C)c(O)c3c2c1O, logP: 5.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OC(=O)NC(C)C)c(C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC(C)=CCCC1(C)C=Cc2cc(Cc3oc4cc(O)ccc4c(=O)c3O)cc(O)c2O1, logP: -1.0, SAScore: 5.0, MolWeight: N/A
SMILES: C/C=C(\C)C(=O)O[C@H]1c2cc3c(c(OC)c2-c2c(cc(OC)c(OC)c2O)[C@H](OC(=O)/C(C)=C/C)[C@@]2(CO2)[C@H]1C)OCO3, logP: 5.0, SAScore: 8.0, MolWeight: N/A
SMILES: CCCCCCCCCCCCc1ccccc1, logP: 6.0, SAScore: 1.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: CSN1C(=O)[C@H]([C@@H](C)O)[C@H]1SC(C)=O, logP: 1.0, SAScore: 5.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 5.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@@H](N)CC(N)=O)C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)NO, logP: -2.0, SAScore: 8.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(O)c1, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: COc1cc(C[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)Cc2ccc(O)c(OC)c2)ccc1O, logP: -2.0, SAScore: 7.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1)C(=O)N[C@@H](CCCCNC(=O)COc1ccc(C2=[N+]([O-])C(C)(C)C(C)(C)N2O)cc1)C(=O)O, logP: -1.0, SAScore: 5.0, MolWeight: N/A
SMILES: CCN1C[C@]2(C)CC[C@H](OC)[C@]34C1[C@H]([C@@H](O)[C@H]23)[C@@]1(O)CC[C@H]2C[C@@H]4[C@@H]1C(=O)O2, logP: 1.0, SAScore: 8.0, MolWeight: N/A
SMILES: C[C@H](O)[C@H](C)C1=C[C@@H](O)[C@H](C)O1, logP: -1.0, SAScore: 1.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccccc2O)N1)C(=O)N[C@@H](CCCCN)C(=O)O, logP: -1.0, SAScore: 8.0, MolWeight: N/A
SMILES: COC(=O)[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](OC(=O)/C=C/c2cc(C)c(O)c(C)c2)[C@H](OC(=O)/C=C/c2ccc(O)c(O)c2)C1, logP: 1.0, SAScore: 5.0, MolWeight: N/A
SMILES: CCCCCCCCC(=O)CCC(=O)OCC1Oc2ccc([C@H]3Oc4cc(O)cc(O)c4C(=O)[C@@H]3O)cc2OC1c1ccc(O)c(OC)c1, logP: 6.0, SAScore: 5.0, MolWeight: N/A
SMILES: COC(=O)[C@]12CCC(C)(C)C[C@H]1[C@H]1C(=O)C=C3[C@@]4(C)[C@H]5O[C@H]5C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2, logP: 4.0, SAScore: 7.0, MolWeight: N/A
SMILES: CC(=O)/C=C/c1cc(O)c(C)c(C)c1O, logP: 3.0, SAScore: 3.0, MolWeight: N/A
SMILES: COc1cc(C[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)Cc2ccc(O)c(OC)c2)ccc1O, logP: -2.0, SAScore: 5.0, MolWeight: N/A
SMILES: CC1=CC[C@H](C(C)(C)O[C@@H]2O[C@H](CO[C@@H]3O[C@@H](CO)[C@H](O)[C@H]3OC(=O)c3cc(O)c(O)c(O)c3)[C@@H](O)[C@H](O)[C@H]2O)CC1, logP: 0.0, SAScore: 6.0, MolWeight: N/A
SMILES: CC[C@@H](C)[C@]12Oc3cc(-c4c(O)c(O)c(-c5ccc(O)cc5)c(OC(C)=O)c4OC(C)=O)ccc3O[N@+]1([O-])C(O)=C([C@@H](C)CC)N(O)C2=O, logP: 6.0, SAScore: 7.0, MolWeight: N/A
SMILES: CCOC(=O)C1=C(C)N(c2ccc([N+](=O)[O-])cc2)C(C)=C(C(=O)OC)C1c1ccc2c(c1)OCO2, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: COC(=O)CCC(=O)OC, logP: 0.0, SAScore: 2.0, MolWeight: N/A
SMILES: COC(=O)CCC(=O)OC, logP: -1.0, SAScore: 2.0, MolWeight: N/A
SMILES: O=C(O[C@@H]1O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]([C@H]1O)[C@@H]2O)c1cc(O)c(O)c(O)c1, logP: 1.0, SAScore: 9.0, MolWeight: N/A
SMILES: CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C, logP: 5.0, SAScore: 9.0, MolWeight: N/A
SMILES: COC(=O)[C@@]1(C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)C[C@H](O)[C@@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1, logP: 4.0, SAScore: 6.0, MolWeight: N/A
SMILES: C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@@H](c2ccccc2O)N1)C(=O)N[C@@H](CCCCN)C(=O)O, logP: -2.0, SAScore: 8.0, MolWeight: N/A
SMILES: CC(=O)O[C@H](C)CC(=O)Oc1c(C)c(O)c2c(c1O)C(=O)C[C@@H](c1ccc(O)c(O)c1)O2, logP: 2.0, SAScore: 5.0, MolWeight: N/A
SMILES: COC(=O)CC(=O)OC[C@H]1O[C@@H](NC(=S)N/N=C/c2cc(C)c(O)c(C)c2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O, logP: 0.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)[C@@H](Cc1ccc(O)c(O)c1)NC(=O)[C@H](CCSC)NC(C)=O, logP: -1.0, SAScore: 3.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 0.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@@H](N)CC(=O)NO)C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)NO, logP: -1.0, SAScore: 7.0, MolWeight: N/A
