SMILES: Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCS)O2, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC(=O)O[C@H](C)CC(=O)Oc1c(O)c(-c2ccc(O)cc2)c(OC(=O)C[C@@H](C)OC(C)=O)c(O)c1-c1ccc(O)cc1, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: C=C(C)[C@@H]1CC[C@@](C)(C(=O)OC)[C@H](C(=C)CO)C1, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OC(=O)c2ccccc2N)c(C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCc1cc(C(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1c(C)c2c(c(C)c1O)C(CN1CCN(C(=O)CCCCC3CCSS3)CC1)O2, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(O)c1C, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: CO[C@@H](c1ccc(O)c(O)c1)[C@H](O)[C@@H](Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2)c1ccc(O)cc1, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C)c(Oc2cc(C)cc(C)c2C(=O)O)c(C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1nc(/C=[N+](\[O-])C(C)(C)C)c(C)nc1/C=[N+](\[O-])C(C)(C)C, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC(C)=CCc1ccc2[nH]c3c(c2c1)C(=O)C(=O)C(C)=C3CC(C)O, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCCCNCc1c(O)c(CC=C(C)C)c(O)c2c(=O)c3c(CC=C(C)C)c(OC)c(O)c(CN(C)C)c3oc12, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCc1ccc2[nH]c3c(c2c1)CCNC3c1cc(C)c(O)c(C)c1, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(O)cc(O)c1C, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC(=O)c1c(O)c(O)c(C/C=C(\C)CCC=C(C)C)c(O)c1C=O, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: C/C(=N\N=C1/SCC(=O)N1Cc1ccc(F)cc1)c1cccs1, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: COC(=O)[C@@H](Cc1cn(C/C=C/c2ccccc2)c2ccccc12)NC(C)=O, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OC(=O)c2cccc(F)c2)c(C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: CSCC[C@H](NC(=O)Cc1ccc(O)c(O)c1)C(=O)NCCc1ccc(O)c(O)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCCCNC(C)c1c(O)c(CC=C(C)C)c(O)c2c(=O)c3c(C)c(O)c(C)c(C)c3oc12, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C)c(O)c(C)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)C1(C)CCc2c(C)c(O)c(C)c(C)c2O1, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: COC(=O)Cc1cc(O)cc2oc(-c3cc(O)c(O)c(O)c3)cc(=O)c12, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C)c(C2=NOC(Cn3cnc4c(N5CCCC5)ncnc43)C2)c(C)c1, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCCCCNCc1c(O)c(CC=C(C)C)c(O)c2c(=O)c3c(CC=C(C)C)c(OC)c(O)cc3oc12, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C(C)C)c(O)c(C(C)(C)C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1cc(C)c(O)c(C)c1, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OC(=O)c2cccc([N+](=O)[O-])c2)c(C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCOC(=O)C(/N=N/c1ccc([Se]C#N)cc1)C(C)=O, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC(/C=C/CC(=O)/C=C(C)/C=C/CCC(=O)/C(C)=C/COc1ccccc1)=C\C(=O)O, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: COc1cc2c(cc1O)CCC(C)(CCNC(=O)/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C)O2, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: C/C(=C\Cc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc(O)c1O)CCCC(C)(C)O, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(O)c1C, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC(C)=CC(O)C/C(C)=C/CC/C(C)=C\C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)/C(C)=C1\OC(=O)C(c2ccc(C)cc2)=C1O, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: COc1ccc2cc([C@H](C)C(=O)NCC3(C)CCc4c(C)c(O)c(C)c(C)c4O3)ccc2c1, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCCCCCC(=O)O[C@@H]1Cc2ccc(O)c(O)c2O[C@H]1c1ccc(O)c(O)c1, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C(C)C)c(O)c(C)c1O, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC(C)=C[C@@H](O)C(=O)C(C)CCC/C(C)=C/CC[C@]1(C)CCc2cc(O)c(C)c(C)c2O1, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)Cc1cc(O)cc2oc(-c3cc(C)cc(O)c3)cc(=O)c12, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C)c(O)c(C(C)(C)C)c1C, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NCCS)O2, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: C/C(=C/CC/C(C)=C/CC/C(C)=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CO, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C(=O)O)cc1O, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C)c(C2=NOC(Cn3cnc4c(N5CCCC5)ncnc43)C2)c(C)c1, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1ccc(C(=O)Nc2ccc(C(C)C)cc2)cc1C, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: C/C=C/c1cc(OC)c(O)c(C(=O)/C=C/c2ccc(O)c(C)c2)c1O, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCC[C@H](C)C(=O)CCl, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC1=C(C)C(=O)C(O)=C([C@H](C)CCC=C(C)C)C1=O, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(O)c1C, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCCCNCc1c(O)c(CC=C(C)C)c(O)c2c(=O)c3c(CC=C(C)C)c(OC)c(O)c(CN(C)C)c3oc12, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC(C)=CCc1ccc2[nH]c3c(c2c1)C(=O)C(=O)C(C)=C3CC(C)O, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCOC(=O)C(CS)NC(=O)C1CCCCN1C(=O)C(C)c1ccc(C(=O)c2ccccc2)c(OC)c1, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(O)c1, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(O)c1C, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCCCNCc1c(O)c(CC=C(C)C)c(O)c2c(=O)c3c(CC=C(C)C)c(OC)c(O)cc3oc12, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC(=O)/C=C/c1cc(O)c2oc(-c3ccc(O)c(O)c3)cc2c1, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC1=CCC[C@H]2[C@](C)(Cc3cc(C)c(O)c(C)c3O)[C@@H](C)CC[C@]12C, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1ccc(C(=O)Nc2ccc(C(C)C)cc2)cc1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCOC(=O)C1=C(C)NC(=S)NC1c1cc(C)c(O)c(O)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC(=O)Oc1c(C)c(C)c2c(c1C)CCC(C)(/C=[N+](\[O-])C(C)(C)C)O2, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: C/C(=C\CC/C(C)=C/CCC1(C)CCc2cc(O)cc(C)c2O1)CO, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC1=C(C)C(=O)C(O)=C([C@H](C)CCC=C(C)C)C1=O, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OC(=O)CCC(=O)O)c(C)c1C, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCCCOC(=O)C(C)(C)Oc1ccc(Cl)cc1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: C/C(=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CC/C=C(\C)Cc1cc(C)co1, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCCCC(CC)C(=O)OC1CC(CC)C=C2C=CCC(C)C21, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)NCCCNCCCCNCCCNC(=O)/C=C/c2c(C)oc3c(C)c4oc(=O)cc(C)c4cc23)c(C)c1C, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1ccccc1C(=O)Oc1c(C)cc(C)c(C)c1O, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C)c2ccccc2c1OC(=O)CCC(=O)O, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: COc1ccc2c(c1)c(CC(=O)OC/C=C/c1ccc(C)c(C)c1)c(C)n2C(=O)c1ccc(Cl)cc1, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C)c(Oc2cc(C)cc(C)c2C)c(O)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc2oc3c(C)c(O)c(C(=O)C(C)C)c(O)c3c2c(C=O)c1O, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: COc1ccccc1Nc1nnc(CSCc2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)s1, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC(C)c1ccc2c(c1O)C(=O)c1c(O)cccc1C2, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C(=O)O)cc1C, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCCNCc1c(O)c(CC=C(C)C)c(O)c2c(=O)c3c(CC=C(C)C)c(O)c(O)cc3oc12, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCCCCC(=O)O[C@@H]1Cc2ccc(O)c(O)c2O[C@H]1c1ccc(O)c(O)c1, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC(C)c1cc2c(c(O)c1O)[C@@]1(C(=O)O)CCCC(C)(C)[C@@H]1CC2, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: C/C=C/CC1CC(=O)CC(=O)C1, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCOC(=O)C1=C(C)NC(=S)NC1c1cc(C)c(O)c(O)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)c(O)c1C, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: CO[C@@H](c1ccc(O)c(O)c1)[C@H](O)[C@@H](Oc1cc(O)cc(O)c1-c1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)[C@H](O)C2)c1ccc(O)cc1, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: COc1ccc2c(c1)OC(c1ccc(O)c(O)c1)CS2, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC[C@H](C)C(=O)c1c(O)c(C)c2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: C#CCN(C)[C@H](C)Cc1ccc(NCc2ncccc2O)cc1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1no[n+]([O-])c1C(N)=O, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC(C)c1cc(CCCO)cc(C(C)(C)C)c1O, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: COc1ccc2c(c1)SCC(c1ccc(O)c(O)c1)O2, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(-c2ccccc2)nc2ccc(C(C)C)cc12, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: C/C(=C\C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CCCC(C)C(=O)/C=C/C(C)(C)O, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C)c(O)c(C)c1OC, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: C/C(=C\C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CC/C=C(\C)Cc1cc(C)co1, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1ccc(-c2cc(C)c3cc(C(C)C)ccc3n2)cc1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C)c(O)c(C(C)(C)C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC(=O)c1cc2c(cc1O)CCC(C)(C/C=C(\C)CCC=C(C)C)O2, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: C/C(=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CC/C=C(\C)Cc1cc(C)co1, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: COc1cc2c(cc1O)CCC(C)(CC(=O)NCCc1ccc(O)c(O)c1)O2, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: C/C(=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CCCC(C)C(=O)/C=C/C(C)(C)O, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C)c(C2=NOC(Cn3cnc4c(N5CCCC5)ncnc43)C2)c(C)c1, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC(C)=CCC/C(C)=C/CC/C(C)=C\C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCC(C)C(=O)c1c(O)cc(O)c2c1OC(C)(CCC=C(C)C)CC2, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC1=C(C)C(=O)C(O)=C([C@H](C)CCC=C(C)C)C1=O, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCOC(=O)C(CS)NC(=O)C1(C)CCc2c(C)c(O)c(C)c(C)c2O1, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: C/C(=C\Cc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc(O)c1O)CCCC(C)(C)O, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1c(O)c(C)c2c3c1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@H]3C[C@@H](c1ccc(O)cc1)O2, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C(=O)O)cc1Cl, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1c(O)c(O)cc2oc3cc(O)cc(O)c3c(=O)c12, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(O)cc(O)c1C(=O)O, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C)c(OCCCN2CCCCC2)c(C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CSC(=O)/C(=C/c1ccc(OC(C)=O)c(OC(C)=O)c1)OC(C)=O)NC(=O)OC(C)(C)C, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: C/C(=C/CC/C(C)=C/CC/C(C)=C\C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O)CO, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCCCNCc1c(O)c(CC=C(C)C)c(O)c2c(=O)c3c(CC=C(C)C)c(OC)c(O)cc3oc12, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NS(=O)(=O)O)O2, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC(=O)N[C@@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)C(=O)O, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: COc1c(C)cc(O)cc1C/C=C(\C)CC(=O)/C=C(/C)CCCC(C)C(=O)/C=C/C(C)(C)O, logP: 6.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: C#CCN(CCCCOc1cc(O)c2c(=O)c3ccccc3oc2c1)C(=O)NCCN1CCOCC1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCC1(C)CCc2cc(O)cc(Cl)c2O1, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(C)c(C2=NOC(Cn3cnc4c(N5CCCC5)ncnc43)C2)c(C)c1, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: CCCN1CCc2c([nH]c3ccc(CC)cc23)C1c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1cc(O)c(C)cc1O, logP: 2.0, SAScore: 2.0, MolWeight: N/A
SMILES: CC(C)C[C@H](NC(=O)/C=C/c1ccc(O)c(O)c1)C(=O)NCCc1ccc(O)c(O)c1, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC(=O)N[C@@H](Cc1ccc(OC(C)=O)c(OC(C)=O)c1)C(=O)NCCCNc1c2c(nc3ccccc13)CCCC2, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: CO[C@@H](c1ccc(O)c(O)c1)[C@@H](C)Cc1cc(C)c(O)c(O)c1, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCCCNCc1c(O)c(CC=C(C)C)c(O)c2c(=O)c3c(CC=C(C)C)c(O)c(O)cc3oc12, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: COc1cc2c(cc1O)CCC(C)(CC(=O)NCCc1ccc(O)c(O)c1)O2, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1ccc(C(=O)Oc2c(C)cc(C)c(O)c2C)cc1, logP: 4.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: Cc1cc([C@H]2C[C@H]3CC[C@@H]2C3)n(O)c(=O)c1, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CS)NC(=O)/C=C/c1cc(C)c(O)c(C)c1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: CCCCCNC(=O)CCC(=O)N(CCC(C)C)C(=O)CCc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: COC(=O)[C@@H](NC1=C(C)C(=O)C(O)=C([C@H](C)CCC=C(C)C)C1=O)C(C)C, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: CCOC(=O)C(CS)NC(=O)C1(C)CCc2cc(C)c(O)c(C)c2O1, logP: 2.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NC1CC(C)(C)N([O])C(C)(C)C1)O2, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: CC1=Cc2c(C)c(O)c(C(=O)C(C)C)c(O)c2OC(C(=O)/C=C/c2ccc(O)c(O)c2)=C1O, logP: 6.0, SAScore: 3.0, MolWeight: N/A
SMILES: Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)NC1CC(C)(C)N([O])C1(C)C)O2, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: COc1cc(C)cc2c1C(=O)C(O)(Cc1cc(O)c(O)cc1O)O2, logP: 2.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: C/C(=C\Cc1cc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc(O)c1O)CCCC(C)(C)O, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: COC(=O)[C@H](CSCc1ccccc1)NC(=O)/C(=C/c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)NC(C)=O, logP: 4.0, SAScore: 4.0, MolWeight: N/A
SMILES: Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1, logP: 6.0, SAScore: 2.0, MolWeight: N/A
SMILES: COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC1=C(C)C(=O)C(O)=C([C@H](C)CCC=C(C)C)C1=O, logP: 4.0, SAScore: 3.0, MolWeight: N/A
SMILES: CC(C)c1ccc(/C=[N+](\[O-])C(C)(C)C)cc1, logP: 4.0, SAScore: 3.0, MolWeight: N/A
