SMILES	 logP	 SAScore
 COc1ccc(/C=C/C(=O)N2CCCC2=O)cc1	2	2
 COc1ccc(C2=NOC(c3ccc(C)cc3)C2S(=O)(=O)CC2=NCCS2)cc1	4	4
 COc1cc(C2Oc3cc(-c4oc5cc(OCC=C(C)C)cc(O)c5c(=O)c4O)ccc3OC2CO)ccc1OCC=C(C)C	6	4
 Cc1ccc(-n2ncc3c2CCCC3NC(=O)CC(F)(F)F)c(C)c1	4	3
 Nc1nnnn1N=CC(=Cc1ccccc1)C12CC3CC(CC(C3)C1)C2	4	3
 Cc1ccc(-c2nc(CC(=O)c3cccn3C)no2)cc1	2	2
 Fc1ccc(-c2nc3ccc(Br)cn3c2Cc2cccc(Cl)c2)cc1	6	2
 CCCCC(=O)OC1(C(C)=O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C	6	4
 CCC(=O)O[C@@H]1C[Se][Se]C[C@H]1O	2	4
 CC1COC(=O)C(CC(=O)NC(Cc2ccccc2)C(=O)O)CC=CCC(CC(=O)N(CCO)Cc2ccccc2)C(=O)N1	2	4
 C#CC1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C	4	4
 C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C	4	4
 CCCCCCCCCCCCCCCCCCCC(=O)O[C@@H]1C[Se][Se]C[C@H]1O	6	4
 CCc1ccc(-c2csc(NC(=O)c3cncc(OC)c3)n2)cc1	4	2
 CC(C)(C)c1ccc(C(=O)CCC(=O)Nc2cccc(Oc3ccccc3C(=O)O)c2)cc1	6	2
 CC(C)(C)c1ccc(-c2noc(-c3ccc(F)c(F)c3)n2)cc1	6	2
 CCOC(=O)CSC1=NC(c2c(C)c(C)n(Cc3ccccc3)c2C)=C(C(=O)OCC)C(C)N1	4	3
 COC(=O)/C=C1\OC(=O)C(c2ccccc2)=C1O	2	3
 CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1C	4	2
 COc1cc(/C=C/COC(=O)c2ccc(O)cc2)ccc1O[C@@H](COC(=O)c1ccc(O)cc1)[C@@H](O)c1ccc(OC)c(O)c1OC	4	4
 Cc1cccc(Cn2c(C3CCCN3c3nc(-c4ccc(F)cc4)cs3)nc3cc(C(=O)NCCCO)ccc32)c1	6	3
 COc1cc(CNC(=O)CCCCCNc2c3c(nc4cc(Cl)ccc24)CC2C=C(C)CC3C2)ccc1O	6	4
 CCCCCCCCCCCCNC(=O)Oc1ccc2c(c1)CN1CCc3ccccc3C1N2C	6	3
 O=C(NNc1ccncc1)c1ccc(F)c([N+](=O)[O-])c1	2	2
 COc1cc2c(cc1OC)C(Cc1ccc(N3CCCC3)c(O)c1)OC2=O	4	3
 ClCCOC(Cl)CCl	2	4
 COc1cc(NC(C)CCCNC(=O)NNC(=O)Nc2cccc(F)c2)c2ncccc2c1	4	3
 COc1ccc(C(=O)c2ccccc2)cc1OCCCN1CCC(C)CC1	4	2
 CCCCc1nc(Cl)c(C2CC(c3ccc(O)cc3)=NN2c2ncccn2)[nH]c1=O	4	3
 COc1ccc2[nH]cc(CCNC(=O)CN(C(=O)/C=C/c3ccc(O)c(OC)c3)C3CCN(Cc4ccccc4C)CC3)c2c1	6	3
 COc1ccc(-c2c(C)c3cc(-c4ccc(C=O)cc4)ccc3oc2=O)cc1OC	6	2
 O=C(/C=C/c1ccc(O)c(O)c1)NCc1ccccc1	2	2
 Cc1cc(C)c(S(=O)(=O)N(CC(=O)O)c2ccc(OC(C(=O)O)c3ccc(OC(C)C)cc3)c3ccccc23)c(C)c1	6	3
 Cc1ccc(S(=O)(=O)N2CCCC2C(=O)O)cc1	2	2
 CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1	4	3
 CC(C)CC(C)c1ccc(OC(=O)c2ccc(OC(N)=O)cc2)cc1	4	2
 CC(C(=O)NC1CCCC1)c1cccc(C(OC(=O)NC2CCCC2)c2ccccc2)c1	6	3
 CCCC[Sn](Cl)(Cl)Cl	4	4
 COc1cccc(C(C)N(C)CCCNC(=O)CCCCC2CCSS2)c1	4	3
 O=C(/C=C/c1cccc([N+](=O)[O-])c1)c1ccc(Nc2c3ccccc3nc3ccccc23)cc1	6	2
 CS(=O)(=O)Nc1cccc(-c2cn3c(n2)SCC3)c1	2	3
 COc1ccc2c(c1)[nH]c1c(CC=C(C)C)c(O)c(/C=N/CCCNc3c4c(nc5ccccc35)CCCC4)cc12	6	3
 Cc1cc(C)c(S(=O)(=O)N2CCC[C@@H]2C(=O)N2CCN(c3ccnc4cc(Cl)ccc34)CC2)c(C)c1	6	4
 COc1cc2c(cc1O)C1(O)c3ccccc3C(=O)N1CC2	2	3
 COc1ccc(Br)c(C(=O)NN2C(=O)CSC2c2cccc3cc(OC)ccc23)c1	4	3
 O=c1c2cccc(F)c2[se]n1-c1ccc2cccc(O)c2n1	2	3
 COc1ccc(-c2cc(C(=O)Nc3cccc(OC)c3)nc(-c3ccccc3)c2)cc1	6	2
 O=c1c2ccccc2[se]n1CCCCCCNc1c2c(nc3ccccc13)CCCC2	6	3
 Cc1ccc(S(=O)(=O)NC(=O)Nc2cc(C(=O)O)cc(N3CCN(C)CC3)c2)cc1	2	2
 COc1cc2c(c(OC)c1OC)C(=O)[C@H](O)[C@@H](c1ccc(O)c(O)c1)O2	2	4
 O=CC(Cl)=C(Cl)C(=O)O	2	4
 CCCS(=O)(=O)c1ccc(CC(=O)NCCc2ccc(S(N)(=O)=O)cc2)cc1	2	2
 Oc1ccccc1/N=C/c1c(O)ccc2ccccc12	4	2
 CNC(=O)Oc1ccc(C)cc1C	2	2
 O=S(=O)(c1cc(F)ccc1F)N1CCN(c2ccccn2)CC1	2	2
 C=C(C)C(=O)OCCCCCCCCCCCCCCC	6	2
 N#Cc1c(Cl)cccc1[N+](=O)[O-]	2	2
 CCOC(=O)c1c(C(=O)OC(C)C(=O)OCC)[nH]c2cc(-c3ccc(C)cc3)ccc12	6	3
 CCCCCCC1CCC(=O)O1	4	3
 CN(C)c1ccc(C2=[N+]([O-])C(C)(C)C(C)(C)N2[O])cc1	2	3
 CCOC(=O)c1c(OC)c2ccccc2[nH]c1=O	2	2
 Cc1ccc(C23CC4CC(CC(C(=O)NC(C(=O)O)C(C)C)(C4)C2)C3)cc1	6	4
 CC1(C)OCC(C[Se]c2ccccc2)O1	2	3
 CCOC(=O)[C@@H](NC(=O)/C=C/c1ccc(O)c(O)c1)[C@@H](C)CC	2	3
 NS(=O)(=O)c1ccc(NC(=O)c2ccc([N+](=O)[O-])s2)cc1	2	2
 CCCCCCCCCCCCCCOC(=O)/C=C/c1ccc(O)c(OC)c1	6	2
 Cc1cc(C)c(C2=NOC(Cn3cnc4c(N)ncnc43)C2)c(C)c1	2	3
 COc1ccc(CCN(C)CCCC(CNC(=O)C2CC(C)(C)N(O)C(C)(C)C2)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	6	4
 CC1(C)CC(c2ccc(Cl)cc2)=NO1	4	3
 Cc1cc(S(=O)(=O)N2CCC3(CC2)CC(=O)c2ccccc2O3)ccc1OC(=O)c1cccc([N+](=O)[O-])c1	4	3
 COc1cc(/C=N/NC(=O)c2ccncc2)cc(OC)c1OC	2	2
 COC1=CC(=O)c2c(ccc3cc(O)c(O)cc23)C1=O	2	3
 CC(C)c1ccc(NC(C)C(c2cccs2)N2CCOCC2)cc1	4	3
 CC12CCC(CC1=O)C2(C)C	2	4
 Cc1cc(C)nc(NC(=S)NC(=O)c2ccccc2F)n1	2	2
 NC(=O)CC(NC(=O)Cc1ccc(Br)cc1)c1ccc(NC2CC3CCC2C3)c([N+](=O)[O-])c1	4	4
 O=C(O[C@@H]1C[Se][Se]C[C@H]1O)c1ccc2ccccc2c1	2	4
 COc1cc(OC)c(OC)cc1CCCCCCCCCCCCCCCO	6	2
 CC(=O)O[C@@H]1CC[C@@H]2[C@H](CC1)[C@@]1(C)CC[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)CC[C@]21C	2	4
 Cc1ccc(S(=O)(=O)N(Cc2ccccc2F)C(=O)c2ccccc2C(=O)O)cc1	4	2
 CC1Cc2nc(SCC(=O)N3CCN(c4ccccc4)CC3)n(C)c(=O)c2S1	2	3
 CC(NC(=O)C1CC(=O)N(c2ccc3c(c2)OCCCO3)C1)c1ccccc1	4	3
 COc1ccc(C2CC(c3cc4ccccc4o3)=NN2C(=O)Nc2ccc(C)cc2)cc1	6	3
 Cc1ccc(-n2cc(C=O)c(-c3c(O)c(-c4nn(-c5cccc(C)c5)cc4C=O)cc4c(C)cc(=O)oc34)n2)cc1	4	3
 CC1(C)CCC[C@H]2C1=CC[C@H]1C[C@@](C)([C@@H](O)CO)C[C@@H](O)[C@@]12C	4	4
 COC(=O)c1cc(S(=O)(=O)c2ccc(Cl)cc2)c[nH]1	2	2
 O=C(Oc1ccc2c(c1)OCO2)c1c(Cl)cccc1Cl	4	2
 CCOC(=O)C1=C(C[Se]C(C)=O)NC(=O)NC1c1ccccc1	2	3
 CC(=O)Nc1cc2c3c(c1)CCC(=O)N3CCC2	2	2
 COc1ccc(-c2c(C)c3cc(Cl)ccc3oc2=S)cc1OC	6	2
 CC(C(=O)NCC1CCCCC1)c1cccc(C(OC(=O)NCC2CCCCC2)c2ccccc2)c1	6	3
 O=C(NC(CO)Cc1ccccc1)c1cc2cc(Cl)ccc2[nH]1	4	3
 O=C(Nc1nncs1)c1ccc([N+](=O)[O-])cc1	2	2
 Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1	6	3
 Cn1c2ccccc2c2cc(C3CC(c4ccc(Cl)c(Cl)c4)=NN3)ccc21	6	3
 Cc1c(C(=O)CCl)c(C)c([N+](=O)[O-])c(C(C)(C)C)c1[N+](=O)[O-]	4	3
 COc1cc([C@@H](CC(=O)O)c2ccc(C)c(CN3C[C@@H](C)Oc4ccccc4S3(=O)=O)c2)cc2nnn(C)c12	4	4
 COc1cc(/C=C/C(=O)O)cc(OC)c1O	2	2
 COc1ccc2c(c1)C(C)(C)C1(C=Cc3c(ccc4ccc(OC(=O)CCCCC5CCSS5)cc34)O1)N2C	6	4
 COc1cc(NC(C)CCCNC(=O)NNC(=O)Nc2ccc(Br)cc2)c2ncccc2c1	6	3
 CC(C)(C)C(O)C(Oc1ccc(-c2ccccc2)cc1)n1cncn1	4	3
 c1ccc(C2CC(c3ccc4[nH]c5c(c4c3)CCCC5)=NN2)cc1	4	3
 CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1	6	3
 CCCCCC(=O)OCC1Oc2ccc([C@H]3Oc4cc(O)cc(O)c4C(=O)[C@@H]3O)cc2OC1c1ccc(O)c(OC)c1	6	4
 N#Cc1c(-c2ccccc2)nc(-c2ccncc2)[nH]c1=O	2	2
 COc1ccccc1N1CCN(c2nc(N)ncc2Cl)CC1	2	2
 CCn1c(NC(=O)c2ccc(Br)o2)nc2ccccc21	4	2
 CC(=O)CC(=O)Nc1ccc(C(=O)CCl)cc1	2	2
 COc1ccc(-c2ccc3nc(-c4cccc(NC(=O)c5cccs5)c4)[nH]c3c2)cc1	6	2
 CCOC(=O)C1=C(C[Se]C(=O)c2ccc(C)cc2)NC(=O)NC1c1ccc(O)c(OC)c1	2	4
 CC(C)Cc1ccc(C(C)C(=O)NCCC[Se]C#N)cc1	4	3
 CCN1CCN(C(CNS(=O)(=O)c2ccc(OC)c(C)c2)c2cccnc2)CC1	2	3
 CCOP(=O)(OCC)C(C)(C)/[N+]([O-])=C/c1cccc([N+](=O)[O-])c1	4	3
 CC(C)(C)NCCOC(=O)c1ccc(NC(=O)CN2CCN(c3ccccn3)CC2)cc1	2	2
 COc1cc(COc2cc(O)cc(OCc3cc(OC)cc(OC)c3)c2)cc(OC)c1	4	2
 CC(C)[C@H]1CC[C@@H](C)C[C@@]12N(C)C(=O)[C@@H]1[C@H]3C(=O)N(c4ccccc4)C(=O)[C@H]3ON12	2	4
 CC(C(=O)N1CCCCC1)c1cccc(C(OC(=O)N2CCCCC2)c2ccccc2)c1	6	3
 O=C1/C(=C/c2ccccn2)N=C([Se]CC[Se]C2=N/C(=C\c3ccccn3)C(=O)N2C2CCCCC2)N1C1CCCCC1	4	3
 CC1CCCC(=O)CCCC=Cc2cc(O)cc(O)c2C(=O)O1	2	4
 Cc1c(-c2ccc(N(C)C)cc2)oc2ccccc2c1=O	4	2
 CC(C)=CC(O)C/C(C)=C/CC/C(C)=C/C(=O)C/C(C)=C/Cc1cc(O)cc(C)c1O	6	4
 COc1ccc(CNS(=O)(=O)c2ccc3c(c2)N(CCC2CCCCN2C)c2ccccc2S3)cc1	6	3
 CC(C)(C)OC(=O)N[C@@H](CCCNC(=N)NC(=O)COc1ccc(C2=[N+]([O-])C(C)(C)C(C)(C)N2O)cc1)C(=O)O	2	4
 O=C(/C=C/c1ccc(O)c(O)c1)OCCCc1ccccc1	4	2
 Fc1ccc(-c2nc(-c3ccc(-c4ccccc4)cc3)no2)cc1F	6	2
 Cc1ccc(-c2csc(N/N=C/c3ccc(Cl)cc3Cl)n2)cc1	6	2
 COc1ccc(NC(=O)c2cc(C)cc(Nc3cc(C)ccc3O)c2)c(OC)c1	6	2
 CC(C)(C)/[N+]([O-])=C/c1nc(-c2ccccc2)ns1	2	3
 COc1ccccc1S(=O)(=O)/C=C/c1ccccc1Cl	4	2
 CCCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC	6	2
 Fc1ccc(-c2nc3c4ccccc4ccn3c2Cc2ccccc2)cc1	6	2
 CCCCCC1C(CCC=Cc2cc(O)cc(O)c2)C1(C)C	4	3
 O=C(CN(Cc1c(F)cccc1Cl)C(=O)c1ccco1)N1CCOCC1	2	2
 CCCCCCCCC=CCCCCCCCOC1=C(O)OC(C(O)CO)C1=O	4	3
 COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2	4	3
 Cc1cc(=O)oc2c(O)c3occc3cc12	2	3
 Cc1ccc(OP(=O)(Oc2ccc(C)cc2)Oc2ccc(C)cc2)cc1	6	2
 CC(C)(C)c1cc(/C=C/C(=O)NCCC2CCN(Cc3ccc(F)c(F)c3)CC2)cc(C(C)(C)C)c1O	6	3
 COc1cc2c(cc1O)OCc1c-2c(-c2ccc(OC)c(OC)c2)c2n1CCc1c-2cc(OC)c(OC)c1OC	6	3
 COc1ccc(N/N=C(\C)c2cc3c(C)cc(=O)oc3c(/C(C)=N/Nc3ccc(OC)cc3)c2O)cc1	6	3
 C=CCC12C=C(OC)C(=O)C(OC)=C1OC(C(=O)OCC1CCCO1)C2C	2	4
 Cc1ccc(C(C)C)c(OCCCCNC(=O)c2cnn(C)c2C)c1	4	2
 CCCCCCCCCCC(=O)O[C@@H]1Cc2ccc(O)c(O)c2O[C@H]1c1ccc(O)c(O)c1	6	4
 CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	2	4
 Cn1ccc2c(c1=O)C1(CC2c2ccccc2)C(=O)N(C(C)(C)C)c2ccccc21	4	4
 O=C(c1ccc2ccccc2c1O)C(c1ccccc1)c1ccccc1	6	2
 COc1cc(/C=C/C(=O)C2=C(/C=C/c3ccc(O)c(OC)c3)NC(=S)NC2c2c(Cl)cccc2Cl)ccc1O	6	4
 CCOc1ccc(C=C(C(=O)/C=C/c2ccc(O)c(OC)c2)C(=O)/C=C/c2ccc(O)c(OC)c2)cc1OCC	6	3
 Cc1cc2cc(CN)ccc2[nH]1	2	2
 Cc1cc(/N=C/c2cc(Br)cc(Br)c2O)c(C(C)C)cc1O	6	3
 Cc1c(C)c2c(c(C)c1OC(=O)CCC(=O)NC1CC(C)(C)N([O])C(C)(C)C1)CCC(C)(C(=O)NC1CC(C)(C)N([O])C(C)(C)C1)O2	6	4
 COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC	4	4
 O=C(NC1CCCC1)C(c1ccncc1)N(C(=O)c1csnn1)c1ccccc1F	4	3
 COc1ccc(S(=O)(=O)/C=C/c2cccc(C(F)(F)F)c2)cc1	4	2
 Cc1ccc(-c2c[nH]nc2S(=O)(=O)CC2=NCCS2)cc1	4	3
 COc1cc(C2NC(c3ccc(OC)c(OC)c3)C3CC(C)CC2C3=O)ccc1O	4	4
 CN(C)c1ccc(N2CCN(c3ncccn3)CC2)cc1	2	2
 N#CC1=C(N)OC(c2c[nH]c3ccccc23)=C(C#N)C1c1ccccc1F	4	3
 CC(C)Cc1ccc(C(C)C)cc1	4	4
 CC1CCCC(NC(=O)C2C3C=CC(O3)C2C(=O)O)C1C	2	4
 C/C(=N\Nc1ccc(C)cc1)c1cc2c(C)cc(=O)oc2c(/C(C)=N/Nc2ccc(C)cc2)c1O	6	3
 COc1ccccc1Oc1ncc(C(F)(F)F)cc1Cl	6	2
 CCCCC(CC)COCC1CO1	2	3
 CC(C)CC(=O)Nc1nnc(-c2ccncc2)s1	2	2
 CC(C)(C)c1ccc(OCC(=O)NCCNC(=O)c2ccc([N+](=O)[O-])o2)cc1	2	2
 CCCCCCCCCCCOc1cc(OC)ccc1C(C)=O	6	2
 CCCCCCCCCC(=O)O[C@@H]1C[Se][Se]C[C@H]1O	4	4
 COC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)/C=C/c1ccc(O)c(O)c1	2	3
 CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C(C(=O)CO)CCC12	2	4
 O=c1oc2cc(/C=C/c3ccc(O)c(O)c3)oc(=O)c2c2cc(O)c(O)cc12	2	3
 C=CCC(CC=C)(CC=C)c1[nH]c2ccc(CC=C(C)C)cc2c1C[C@@H]1NC(=O)[C@H](C)NC1=O	6	4
 COc1ccc(C2C(C#N)=C(N)OC(c3c[nH]c4ccccc34)=C2C#N)cc1OC	4	3
 COC(=O)c1ccc(N2CCN(C(=O)c3cccnc3)CC2)c(F)c1OC	2	2
 COC(=O)C(C)c1ccc(-c2ccc(O)c(C(=O)/C=C/c3ccc(N4CCOCC4)cc3)c2)c(F)c1	6	3
 CCCCOC(=O)c1cc(O)c(O)c(O)c1	2	2
 COc1ccc([C@@H]2Oc3cc(OC)c(O)c(OC)c3C(=O)[C@@H]2O)cc1O	2	3
 COCC(=O)N1N=C(c2ccc(C)cc2)CC1c1cccc(OC)c1	2	3
 Fc1ccc(-c2nc(-c3ccc4nc[nH]c4c3)no2)cc1	4	2
 CCOC(=O)c1c(C)nc2ccc(-c3ccc(OC)cc3)cn12	4	2
 Cc1ncc([N+](=O)[O-])n1CC(O)CCl	2	3
 O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H]1O	2	4
 Cc1nnc(NC(=O)c2ccc(S(=O)(=O)N(C)Cc3ccccc3)cc2)s1	2	2
 COc1ccc(CC(=O)c2c(O)cc(O)cc2O)cc1	2	2
 CCOC(=O)CC(c1ccc([N+](=O)[O-])cc1)n1c(C)ccc1C(=O)OC	2	3
 Cc1cc(Cl)ccc1NS(=O)(=O)c1cn(C)c(=O)n(C)c1=O	2	2
 C#CC1(C)C=C(C#N)C(=O)C(C)(C)CC1c1ccc(Cl)cc1	4	4
 COc1ccc([C@@H]2OC[C@@H]3[C@H]2CO[C@H]3c2ccc(OC)c(OC)c2)cc1OC	4	4
 Cc1ccc(C(=O)c2sc(Nc3ccc(Cl)cc3)c(C(=O)O)c2C)cc1	6	2
 CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC	6	2
 O=C(CCCCC1CCSS1)NCCCCCCNC(=O)c1c(O)c2ccccc2n(-c2ccccc2)c1=O	6	3
 CCNC(=O)C1(OC)CC(C(C)(C)CN(C)C)CCCO1	2	4
 COc1ccc2c(c1)C=C1C=CC1CC(c1ccccc1)=Cc1n[nH]c(O)c1-2	4	3
 COc1ccc(C2=NOC(c3c[nH]c4ccccc34)C2CN2CCOCC2)cc1	4	4
 CC1=NC(=C2N=CN(CC3COCCO3)C3CC(C)CN(C3)C2=O)c2cc(C)ccc2N1C	2	4
 CCCCCCCCCCCCCCCCCCCC(=O)O[C@@H]1C[Se][Se]C[C@H]1O	6	4
 COc1ccc2c(c1)OC(=O)C2=Nc1cccc(C)c1C	4	3
 C=CC(C)(C)c1[nH]c2ccc(CC=C(C)C)cc2c1/C=C1\NC(=O)[C@H](C)NC1=O	4	4
 COc1ccc2c(c1)[n+]([O-])c(C(=O)/C=C/c1ccc(O)c(OC)c1)c(C)[n+]2[O-]	2	3
 CC(=O)NC[C@]1(C)CCC[C@]2(C)c3ccc(C(C)C)cc3/C(=N\NC(N)=O)C[C@@H]12	4	4
 CCOc1cc(C=NNC(=O)c2ccc3ncsc3c2)ccc1OC	4	2
 O=C1ON=C2C=C(c3ccc(Br)cc3)CC(c3cccc([N+](=O)[O-])c3)C12	4	4
 CC(=O)N1N=C(c2ccc(-n3nc(C)n(N)c3=O)cc2)CC1c1ccc([N+](=O)[O-])cc1	2	3
 CC(=O)Nc1ccc(Nc2nc(-c3ccccc3)c3cc(C)ccc3n2)cc1	6	2
 CC(C)NC(=O)Nc1cc2c3c(c1)CCN3C(=O)CC2	2	2
 CNC(=O)Oc1cccc2c1OC(C)(C)O2	2	3
 CCOC(=O)C(CS)NC(=O)C1CCCCN1C(=O)C(C)c1ccc2cc(OC)ccc2c1	4	4
 CCOC(=O)CC(SP(=O)(OC)OC)C(=O)OCC	2	4
 COc1ccc(-c2nc3cccnc3n(CC(=O)O)c2=O)cc1	2	2
 CC1=C2C(=O)Nc3c(Cl)cccc3C2NC(=S)N1C	2	4
 O=C(CSc1ncnc2c1nnn2Cc1ccccc1)NC1CCCCC1	2	2
 Cc1ccc2[nH]c(-c3ccccc3)c(C3C=C(c4ccccc4)Oc4[nH]nc(N)c43)c2c1	6	4
 COc1cc(NC(C)CCCNC(=O)NNC(=O)NCCCCCO)c2ncccc2c1	2	3
 Cc1ccccc1NC(=O)CSc1nnc(CNC(=O)c2ccco2)o1	2	2
 Cc1ccc(NC(=O)C2C3CCC(O3)C2C(=O)O)cc1Cl	2	4
 CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC(C)C	6	2
 O=C(c1ccc(Cl)cc1)N(CCc1c[nH]c2ccccc12)Cc1ccc(Cl)cc1	6	2
 CN(CC(=O)Nc1ccc(F)c(F)c1)C(=O)CN1CCN(c2ccccn2)CC1	2	2
 CCCCCCCCCCCCCCC1OC(=O)c2cc(N3N=C(C)CC3=O)ccc21	6	3
 CCCC[Sn](Cl)(Cl)CCCC	4	3
 O=C(NCC1c2ccccc2CCN1C(=O)C1CCCCC1C(=O)O)OCc1ccccc1	4	3
 COC(=O)c1nnc(SCC(=O)c2ccccc2)n1C	2	2
 O=C(CCCCC1CCSS1)NCCCCCCNC(=O)c1c(O)c2ccccc2n(-c2ccccc2)c1=O	6	3
 COc1ccc(NC(=O)CCC(=O)c2ccc(C(C)(C)C)cc2)c(Oc2ccccc2)c1	6	2
 Cc1cccc(C)c1NC(=O)CN1CCc2ccccc2C1=O	2	2
 COc1ccc(-c2c(C)c3ccccc3oc2=O)cc1OC	4	2
 COc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12	4	4
 O=C(O)[C@H](Cc1c[nH]cn1)NCCC(=O)N1c2ccccc2C=Cc2ccccc21	4	3
 COc1ccc(C2/C(=C\c3ccc(O)c(OC)c3)C(=O)c3cccn32)cc1O	4	3
 COc1ccc(OC2C(=O)N(c3ccc(O)c(C)c3)C2c2ccc(OC)c(OC)c2)cc1	4	3
 COc1ccc(-c2c(C)c3cc(Cl)ccc3oc2=S)cc1OC	6	2
 Cc1ccc(-c2nnc(CSC(SCc3nnc(-c4ccc(C)cc4)o3)=C(C#N)C#N)o2)cc1	6	3
 CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1	4	3
 O=C1C[C@H](c2ccc(O)cc2)Oc2cc(Oc3c(O)cc4c(c3O)C(=O)C[C@H](c3ccc(O)cc3)O4)cc(O)c21	6	4
 CC(C(=O)n1nnc2ccccc21)c1cccc(C(OC(=O)n2nnc3ccccc32)c2ccccc2)c1	4	4
 CCCCCNc1ccc2c3c(cccc13)C(=O)N(C[C@@]1(C)CCC[C@]3(C)c4ccc(C(C)C)cc4CC13)C2=O	6	3
 Cc1ccc(NC(=O)CN2C(=O)c3ccccc3S2(=O)=O)cc1[N+](=O)[O-]	2	2
 COc1cc([C@@H]2Oc3cc(C4Oc5cc(O)cc(O)c5C(=O)[C@H]4O)ccc3O[C@H]2CO)ccc1O	2	4
 CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	2	4
 CC12CCC3c4ccc(O)cc4CCC3C1CCC2O	4	4
 CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1	2	4
 O=C1NN=C2C=C(c3ccc(Br)cc3)CC(c3cccc([N+](=O)[O-])c3)C12	4	4
 CCOC(=O)C1=C(C[Se]C(=O)c2ccc(C)cc2)NC(=O)NC1c1cccc2ccccc12	4	3
 COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1	6	2
 COc1cccc2c1Cc1c-2[nH]c2ccccc12	4	2
 CC1(C)[C@@H](O)CC[C@]2(C)C3=C(CC[C@@H]12)[C@@]1(C)CC[C@@]2(C)CC[C@@](C)(C(=O)O)C[C@H]2[C@]1(C)CC3	6	4
 CCCCCCCCCCC(=O)O[C@@H]1C[Se][Se]C[C@H]1O	2	4
 CC1(c2ccccc2)CC(C(CC(=O)O)c2ccc(F)cc2)CCO1	4	3
 COc1ccc(C2(C)CC(=O)C=C(C)C2(O)C=CC(C)=CC(=O)O)cc1OC	4	4
 Cc1cc(C)nc(SCc2ccccc2Cl)n1	4	2
 COc1ccc(Br)c(-c2nnc3n2NC(c2ccc([N+](=O)[O-])cc2)S3)c1	4	3
 O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1	4	4
 COc1cc(C2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3OC2COC(=O)/C=C/c2ccc(Cl)cc2)ccc1O	6	4
 CC(C)CCn1[se]c2ccccc2c1=O	2	3
 Cc1cc(C)c(S(=O)(=O)NCCCN2CCCC2)c(C)c1	2	2
 CC(C)=CCCC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O	6	4
 Cc1ccccc1C1N[C@H](C(=O)O)CS1	2	3
 O=C(Cc1ccc(O)cc1)c1ccc(O)c(O)c1O	2	2
 COc1ccc(C)cc1N(c1ccc(C(=O)O)cc1)S(=O)(=O)c1ccc(Br)cc1	6	2
 COc1cc(C2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3OC2CO)ccc1O	2	4
 O=C1C[C@H](c2ccc(O)cc2)Oc2cc(Oc3c(O)cc4c(c3O)C(=O)C[C@H](c3ccc(O)cc3)O4)cc(O)c21	6	4
 ClC=C(Cl)Cl	2	4
 CCCCCCCCCCCCCOC(=O)/C=C/c1ccc(O)c(OC)c1	6	2
 CCCCCCCCCOC(=O)COc1c(Cl)cc(Cl)cc1Cl	6	2
 CC(C)c1cc2c(c(O)c1O)[C@@]1(C=O)CCCC(C)(C)[C@@H]1CC2	4	4
 CCOc1ccc(C(Oc2ccc(N(CC(=O)O)S(=O)(=O)c3c(C)cc(C)cc3C)c3ccccc23)C(=O)O)cc1	6	3
