SMILES: O=C1CCO1, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCCN, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCS, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(C)O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(O)CO, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CC=CC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CN(C)C, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=C(C)C, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CC(N)=O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: NC(N)=O, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=C(C)CCl, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: ClCCCl, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(C)(N)CO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C1COCCN1, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCN, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=CC=CC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NCC(=O)O, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: c1cc(C2OCCS2)ccn1, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: NCC(=O)O, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CC(C)(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC=C(Cl)Cl, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(O)CO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(C)C, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCC(O)O, logP: -2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCc1cnc[nH]1, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(O)CO, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCC(C)C, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: OB(O)O, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: NCCCCN, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CN(C)C, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCC(C)C, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCCNO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CN(C)C, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CC=CC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: OCCCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: OCCCCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: NC=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: ClCCCl, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CC=CC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: O=C(O)C=CCO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: ClCCCl, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=C(C)C, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: ClCCCl, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(C)(C)C, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: ClCCl, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CS(=O)(=O)N1CCOC1C#N, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC(C)=O, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: OCCCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(C)O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: NCC1OCCN1S(=O)(=O)c1ccc(F)cc1, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC(C)=CCl, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: COCCO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CNC(C)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCCO, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC1CO1, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: COCC(C)O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCCC#N, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCN, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=O, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: c1ccsc1, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: O=C1CCO1, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: OCC(O)CO, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CC=CC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCCC#N, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CN(C)C, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CN(C)CCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CN(C)C=O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CC(=C)C, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CN(C)C, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(C)=CCCl, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CN(C)C=O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCCN, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: Clc1ccccn1, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(C)Cl, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CN1CCNC1=O, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCC=CC=O, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCC(C)C, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C1CCCNCC1, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(O)CO, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=CCCl, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCCCl, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(C)(C)C, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CC=CC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(C)O, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: NC(=O)CO, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(C)C, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC=C(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(C)Cl, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCC(C)C, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC=C(Cl)Cl, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC(C)(C)C, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=CCC(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: NCC(=O)O, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(=O)C=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CC(C)(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCC(O)O, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC=C(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NCCCN, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: O=C1OCCO1, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: NCC1OCCN1S(=O)(=O)c1ccc(F)cc1, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: O=C([O-])C(O)C(=O)O, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC1(C)NC(=O)NC1=O, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: S=C1NCCN1, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C1COCCN1, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC(C)S, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: NCCCCN, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCCCCO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C1COCCN1, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC(C)C, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCCCCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(C)(C)C(=O)NN, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CN, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CNC, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCCCCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: O=CN1CC1, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NCCNCCN, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(=O)C=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: COCCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: O=C1CCO1, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CNC, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: ClCCCl, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCCC#N, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(C)C, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: COC(C)O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=O, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CN1CCN(c2cnccn2)CC1, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC=CCCl, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CN(C)C, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: OCc1cnc[nH]1, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(O)CO, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C1CO1, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NCCCCN, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: COCCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCCC#N, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCC(O)CO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(C)(N)CO, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CC(=C)C, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CC(=C)C, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: OCCCCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: NCCCCN, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCCC=O, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: ClCCCl, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CC=CC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CC(=O)O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: NC1=NC(=O)CC1, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: COCCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: OCCCCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=CC(N)=O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CNC, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: Sc1ccccc1, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(C)C, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCCCl, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(Cl)Cl, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CN(C)C, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCC#N, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CC(N)=O, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: ClCCl, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCC(C)C, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCC(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: O=C(O)C=CC(=O)O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: S=C1NCCN1, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCCC#N, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: OCCCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CNC, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: O=S1(=O)CC1, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: O=c1ccocc1O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NCC1OCCN1S(=O)(=O)c1ccccc1, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: NNCCO, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CN, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: OCC(O)CO, logP: -2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: ClCCCl, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCC(=O)CC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: O=P(O)(O)O, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CCC(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCCC#N, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CCCC#N, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: OCCCO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C=COOC(C)(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC=C(C)C#N, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CC=CC, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CN(C)C, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(C)(N)CO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: COCCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: C[N+](C)(C)C, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC=C(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CN(C)C, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CN(C)C, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCN, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: C=CCCl, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC(O)CO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=C(Cl)Cl, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: N#CCC(=O)O, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: NCCO, logP: -2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: C=CCC, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CC(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CC(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CNC, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC=C(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCC(C)C, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CC(N)=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(C)S, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC=CCCl, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(N)C(=O)O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CC(N)C(=O)O, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCCCl, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(=O)C=O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC(C)(N)CO, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: COCC(=O)O, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CC(N)=O, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: S=c1[nH]cc[nH]1, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: O=C(O)c1ccno1, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CCCCC#N, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: S=C1NCCN1, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: OCC(O)CO, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NCCc1cnc[nH]1, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CC=C(C)C#N, logP: 2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: NCCNCCN, logP: -2.0, SAScore: 3.0, MolWeight: 3.0
SMILES: C=CC(N)=O, logP: 0.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CCCC, logP: 2.0, SAScore: 2.0, MolWeight: 4.0
SMILES: CCCCC#N, logP: 2.0, SAScore: 2.0, MolWeight: 3.0
SMILES: O=CC=O, logP: 0.0, SAScore: 3.0, MolWeight: 3.0
SMILES: OCCCCO, logP: 0.0, SAScore: 2.0, MolWeight: 3.0
SMILES: CC(C)=CCl, logP: 2.0, SAScore: 3.0, MolWeight: 4.0
SMILES: CO, logP: 0.0, SAScore: 2.0, MolWeight: 4.0
